chr_window	start	stop	nb_snps
Chr5_33	12312758	13096525	4
Chr5_34	13040450	14972752	4
Chr5_35	13143017	15415369	4
Chr5_36	15114195	16344601	4
Chr5_37	16182978	17129034	4
Chr5_38	16980547	18693604	4
Chr5_39	17531918	19078794	4
Chr5_40	19050926	20914321	4
Chr5_41	20133763	21058398	4
Chr5_42	20953905	22270938	4
Chr5_43	21815967	22575728	4
Chr5_44	22400309	22769226	4
Chr5_45	22723782	23728000	4
Chr5_46	23014271	24669245	4
Chr5_47	24178178	25280627	4
Chr5_48	24960329	26036538	4
Chr5_49	25600633	26036538	2
