chr_window	start_window	stop_window	start_smooth	stop_smooth	window_smoothed
Chr1_57	16625677	17268276	56	58	56:57:58
Chr1_58	16934677	17429863	57	59	57:58:59
Chr1_59	17296501	17494580	58	60	58:59:60
Chr1_60	17494300	17961085	59	61	59:60:61
Chr1_61	17611670	17991187	60	62	60:61:62
Chr1_62	17985253	18411725	61	63	61:62:63
Chr1_63	18147770	18713341	62	64	62:63:64
Chr1_64	18678696	19457685	63	65	63:64:65
Chr1_65	18770881	19517104	64	66	64:65:66
Chr1_66	19468072	19912380	65	67	65:66:67
Chr1_67	19764710	20135078	66	68	66:67:68
Chr1_68	20064072	20398622	67	69	67:68:69
Chr1_69	20138182	20514558	68	70	68:69:70
Chr1_70	20481963	20789190	69	71	69:70:71
Chr1_71	20538108	20920151	70	72	70:71:72
Chr1_72	20885209	21251079	71	73	71:72:73
Chr1_73	21092504	21337405	72	74	72:73:74
Chr1_74	21333689	21413768	73	75	73:74:75
Chr1_75	21352001	21619010	74	76	74:75:76
Chr1_76	21510084	22376869	75	77	75:76:77
Chr1_77	22201447	23467167	76	78	76:77:78
Chr1_78	23410605	23750755	77	79	77:78:79
Chr1_79	23532148	23805670	78	80	78:79:80
Chr1_80	23771998	23838579	79	81	79:80:81
Chr1_81	23811796	23884549	80	82	80:81:82
Chr1_82	23865144	23982881	81	83	81:82:83
Chr1_83	23960974	24188325	82	84	82:83:84
Chr1_84	23986687	25253293	83	85	83:84:85
Chr1_85	24879021	25408591	84	86	84:85:86
Chr1_86	25393273	25756681	85	87	85:86:87
Chr1_87	25462558	26283261	86	88	86:87:88
Chr1_88	25969512	26412354	87	89	87:88:89
Chr1_89	26351282	26996982	88	90	88:89:90
Chr1_90	26551068	27218094	89	91	89:90:91
Chr1_91	27020144	27330195	90	92	90:91:92
Chr1_92	27302346	27524931	91	93	91:92:93
Chr1_93	27350913	27736703	92	94	92:93:94
Chr1_94	27613045	27936625	93	95	93:94:95
Chr1_95	27931677	28054800	94	96	94:95:96
Chr1_96	27977489	28125557	95	97	95:96:97
Chr1_97	28095886	28800366	96	98	96:97:98
Chr1_98	28259383	28911362	97	99	97:98:99
Chr1_99	28904535	28950682	98	100	98:99:100
Chr1_100	28940568	29272174	99	101	99:100:101
Chr1_101	29061063	29385770	100	102	100:101:102
Chr1_102	29348331	29628250	101	103	101:102:103
Chr1_103	29544774	29968812	102	104	102:103:104
Chr1_104	29694162	30143351	103	105	103:104:105
Chr1_105	30139285	30143351	104	105	104:105
Chr2_1	103278	231256	1	2	1:2
Chr2_2	279510	351245	1	3	1:2:3
Chr2_3	365840	1375689	2	4	2:3:4
Chr2_4	1284745	2036649	3	5	3:4:5
Chr2_5	1393739	2223902	4	6	4:5:6
Chr2_6	2194774	2367279	5	7	5:6:7
Chr2_7	2232251	3153568	6	8	6:7:8
Chr2_8	2604215	3647609	7	9	7:8:9
Chr2_9	3186729	3878725	8	10	8:9:10
Chr2_10	3724604	4321542	9	11	9:10:11
Chr2_11	4150394	4734215	10	12	10:11:12
Chr2_12	4580345	5098233	11	13	11:12:13
Chr2_13	4936550	5334753	12	14	12:13:14
Chr2_14	5316042	5387072	13	15	13:14:15
Chr2_15	5377643	5559153	14	16	14:15:16
Chr2_16	5404543	5652916	15	17	15:16:17
Chr2_17	5623628	5885166	16	18	16:17:18
Chr2_18	5708847	7046762	17	19	17:18:19
Chr2_19	6590072	7308817	18	20	18:19:20
Chr2_20	7128425	8076637	19	21	19:20:21
Chr2_21	7755558	8333628	20	22	20:21:22
Chr2_22	8294845	8392992	21	23	21:22:23
Chr2_23	8382328	8698689	22	24	22:23:24
Chr2_24	8508488	8855573	23	25	23:24:25
Chr2_25	8805621	9111114	24	26	24:25:26
Chr2_26	8857389	9379272	25	27	25:26:27
Chr2_27	9174342	9599212	26	28	26:27:28
Chr2_28	9506858	9760545	27	29	27:28:29
Chr2_29	9703237	10458130	28	30	28:29:30
Chr2_30	10287660	10764947	29	31	29:30:31
Chr2_31	10545468	11034201	30	32	30:31:32
Chr2_32	10969938	11163585	31	33	31:32:33
Chr2_33	11106282	11301596	32	34	32:33:34
Chr2_34	11211623	11435198	33	35	33:34:35
Chr2_35	11430413	11576476	34	36	34:35:36
Chr2_36	11537933	11957241	35	37	35:36:37
Chr2_37	11831036	12324982	36	38	36:37:38
Chr2_38	12068380	12341713	37	39	37:38:39
Chr2_39	12331704	12493553	38	40	38:39:40
Chr2_40	12486243	12733163	39	41	39:40:41
Chr2_41	12560712	12892336	40	42	40:41:42
Chr2_42	12875830	13344370	41	43	41:42:43
Chr2_43	12914794	13513481	42	44	42:43:44
Chr2_44	13419885	14767358	43	45	43:44:45
Chr2_45	14069376	15043325	44	46	44:45:46
Chr2_46	14949699	15823236	45	47	45:46:47
Chr2_47	15064626	16076499	46	48	46:47:48
Chr2_48	15874469	16718432	47	49	47:48:49
Chr2_49	16430072	17108813	48	50	48:49:50
Chr2_50	17080225	17309433	49	51	49:50:51
Chr2_51	17149706	18215998	50	52	50:51:52
Chr2_52	17434848	18778049	51	53	51:52:53
Chr2_53	18466737	18995024	52	54	52:53:54
Chr2_54	18961121	18995024	53	55	53:54:55
Chr2_55	19654239	19654239	54	55	54:55
Chr3_1	342917	673382	1	2	1:2
Chr3_2	707088	712969	1	3	1:2:3
Chr3_3	752739	1085437	2	4	2:3:4
Chr3_4	1029809	1381923	3	5	3:4:5
Chr3_5	1295981	1594452	4	6	4:5:6
Chr3_6	1449743	2031826	5	7	5:6:7
Chr3_7	1845970	2180118	6	8	6:7:8
Chr3_8	2097197	2317258	7	9	7:8:9
Chr3_9	2228868	3113553	8	10	8:9:10
Chr3_10	2705185	3519002	9	11	9:10:11
Chr3_11	3514193	3628749	10	12	10:11:12
Chr3_12	3597934	4150625	11	13	11:12:13
Chr3_13	3702735	4825657	12	14	12:13:14
Chr3_14	4179869	4948240	13	15	13:14:15
Chr3_15	4927171	5145409	14	16	14:15:16
Chr3_16	5077691	5388573	15	17	15:16:17
Chr3_17	5376654	5482229	16	18	16:17:18
Chr3_18	5405156	5693645	17	19	17:18:19
Chr3_19	5589673	5909262	18	20	18:19:20
Chr3_20	5853605	5986335	19	21	19:20:21
Chr3_21	5935613	6034221	20	22	20:21:22
Chr3_22	5996514	6512422	21	23	21:22:23
Chr3_23	6452009	6755096	22	24	22:23:24
Chr3_24	6580440	6804894	23	25	23:24:25
Chr3_25	6756578	6879359	24	26	24:25:26
Chr3_26	6862824	7011240	25	27	25:26:27
Chr3_27	6963183	7204091	26	28	26:27:28
Chr3_28	7123271	7239000	27	29	27:28:29
Chr3_29	7236458	7633410	28	30	28:29:30
Chr3_30	7401523	7949512	29	31	29:30:31
Chr3_31	7778781	8210112	30	32	30:31:32
Chr3_32	8033123	8354676	31	33	31:32:33
Chr3_33	8257962	8888903	32	34	32:33:34
Chr3_34	8782547	9144619	33	35	33:34:35
Chr3_35	9072645	9191641	34	36	34:35:36
Chr3_36	9158442	9276024	35	37	35:36:37
Chr3_37	9210057	9355847	36	38	36:37:38
Chr3_38	9287221	9796537	37	39	37:38:39
Chr3_39	9624798	9977973	38	40	38:39:40
Chr3_40	9921946	11065171	39	41	39:40:41
Chr3_41	10596666	12736734	40	42	40:41:42
Chr3_42	11963250	13198336	41	43	41:42:43
Chr3_43	13064226	13693246	42	44	42:43:44
Chr3_44	13692909	14237365	43	45	43:44:45
Chr3_45	14112930	14371876	44	46	44:45:46
Chr3_46	14350450	14863295	45	47	45:46:47
Chr3_47	14694148	16319342	46	48	46:47:48
Chr3_48	15225581	17266048	47	49	47:48:49
Chr3_49	17198514	17360725	48	50	48:49:50
Chr3_50	17283792	17450150	49	51	49:50:51
Chr3_51	17388546	17666400	50	52	50:51:52
Chr3_52	17506131	17842974	51	53	51:52:53
Chr3_53	17774419	17946707	52	54	52:53:54
Chr3_54	17854636	18386126	53	55	53:54:55
Chr3_55	17984416	18497869	54	56	54:55:56
Chr3_56	18401817	18566528	55	57	55:56:57
Chr3_57	18532627	18777910	56	58	56:57:58
Chr3_58	18672194	18978128	57	59	57:58:59
Chr3_59	18797997	19106123	58	60	58:59:60
Chr3_60	19010356	19491076	59	61	59:60:61
Chr3_61	19199991	20185121	60	62	60:61:62
Chr3_62	19606573	20627972	61	63	61:62:63
Chr3_63	20322961	20752999	62	64	62:63:64
Chr3_64	20667999	21090564	63	65	63:64:65
Chr3_65	20870820	21289951	64	66	64:65:66
Chr3_66	21157049	21379746	65	67	65:66:67
Chr3_67	21343950	21425206	66	68	66:67:68
Chr3_68	21417659	21693992	67	69	67:68:69
Chr3_69	21691552	21813287	68	70	68:69:70
Chr3_70	21742064	22117707	69	71	69:70:71
Chr3_71	22052994	22198992	70	72	70:71:72
Chr3_72	22135772	22297900	71	73	71:72:73
Chr3_73	22292793	22513483	72	74	72:73:74
Chr3_74	22446767	23007987	73	75	73:74:75
Chr3_75	22931093	23451995	74	76	74:75:76
Chr3_76	23074983	23451995	75	76	75:76
Chr4_1	108535	220079	1	2	1:2
Chr4_2	754623	755432	1	3	1:2:3
Chr4_3	1155408	3392620	2	4	2:3:4
Chr4_4	2490935	4189160	3	5	3:4:5
Chr4_5	3518366	4357668	4	6	4:5:6
Chr4_6	4346625	4526693	5	7	5:6:7
Chr4_7	4427836	4865860	6	8	6:7:8
Chr4_8	4794287	5112498	7	9	7:8:9
Chr4_9	4979803	5799952	8	10	8:9:10
Chr4_10	5593193	6340217	9	11	9:10:11
Chr4_11	6139987	6480520	10	12	10:11:12
Chr4_12	6399322	6597305	11	13	11:12:13
Chr4_13	6563102	7307915	12	14	12:13:14
Chr4_14	6677617	7760881	13	15	13:14:15
Chr4_15	7531309	8027261	14	16	14:15:16
Chr4_16	7866707	8181864	15	17	15:16:17
Chr4_17	8103206	8368900	16	18	16:17:18
Chr4_18	8288588	8516646	17	19	17:18:19
Chr4_19	8476826	8906051	18	20	18:19:20
Chr4_20	8697332	9121153	19	21	19:20:21
Chr4_21	9002767	9480284	20	22	20:21:22
Chr4_22	9308071	9759883	21	23	21:22:23
Chr4_23	9555945	9923722	22	24	22:23:24
Chr4_24	9904023	10106590	23	25	23:24:25
Chr4_25	10028464	10164235	24	26	24:25:26
Chr4_26	10151788	10611427	25	27	25:26:27
Chr4_27	10265147	10928709	26	28	26:27:28
Chr4_28	10699709	10995810	27	29	27:28:29
Chr4_29	10929683	11390861	28	30	28:29:30
Chr4_30	11135121	11613127	29	31	29:30:31
Chr4_31	11551870	11754197	30	32	30:31:32
Chr4_32	11660199	11865956	31	33	31:32:33
Chr4_33	11825989	12038840	32	34	32:33:34
Chr4_34	11897227	12178606	33	35	33:34:35
Chr4_35	12163540	12568489	34	36	34:35:36
Chr4_36	12222943	12970994	35	37	35:36:37
Chr4_37	12943928	13184593	36	38	36:37:38
Chr4_38	13158756	13636705	37	39	37:38:39
Chr4_39	13264111	13945529	38	40	38:39:40
Chr4_40	13739959	14315609	39	41	39:40:41
Chr4_41	14243183	14833803	40	42	40:41:42
Chr4_42	14541766	14997933	41	43	41:42:43
Chr4_43	14907081	15164081	42	44	42:43:44
Chr4_44	15049166	15312429	43	45	43:44:45
Chr4_45	15238599	15889743	44	46	44:45:46
Chr4_46	15486128	16418955	45	47	45:46:47
Chr4_47	16358049	17106883	46	48	46:47:48
Chr4_48	16757272	17561313	47	49	47:48:49
Chr4_49	17203845	17724206	48	50	48:49:50
Chr4_50	17612523	18032088	49	51	49:50:51
Chr4_51	17934432	18385025	50	52	50:51:52
Chr4_52	18353380	18488278	51	53	51:52:53
Chr4_53	18475425	18488278	52	53	52:53
Chr5_1	711634	714349	1	2	1:2
Chr5_2	884595	1053341	1	3	1:2:3
Chr5_3	1769119	2304572	2	4	2:3:4
Chr5_4	2265208	3235872	3	5	3:4:5
Chr5_5	2731437	3412112	4	6	4:5:6
Chr5_6	3356013	3703742	5	7	5:6:7
Chr5_7	3507550	3911711	6	8	6:7:8
Chr5_8	3751051	4168082	7	9	7:8:9
Chr5_9	4140179	4589187	8	10	8:9:10
Chr5_10	4547066	4590795	9	11	9:10:11
Chr5_11	4590791	4663296	10	12	10:11:12
Chr5_12	4648659	4842814	11	13	11:12:13
Chr5_13	4732959	5518672	12	14	12:13:14
Chr5_14	5143873	6143273	13	15	13:14:15
Chr5_15	5841373	7043410	14	16	14:15:16
Chr5_16	6831327	7242028	15	17	15:16:17
Chr5_17	7079120	7889605	16	18	16:17:18
Chr5_18	7633794	8165390	17	19	17:18:19
Chr5_19	8063604	8512972	18	20	18:19:20
Chr5_20	8232480	9326639	19	21	19:20:21
Chr5_21	8695118	9538841	20	22	20:21:22
Chr5_22	9337226	9559932	21	23	21:22:23
Chr5_23	9543207	9842090	22	24	22:23:24
Chr5_24	9634346	10030253	23	25	23:24:25
Chr5_25	9983036	10209214	24	26	24:25:26
Chr5_26	10075669	10930647	25	27	25:26:27
Chr5_27	10524973	11096549	26	28	26:27:28
Chr5_28	10931377	11361449	27	29	27:28:29
Chr5_29	11287290	11405713	28	30	28:29:30
Chr5_30	11392742	11498866	29	31	29:30:31
Chr5_31	11433141	12133415	30	32	30:31:32
Chr5_32	11504027	12966636	31	33	31:32:33
Chr5_33	12312758	13096525	32	34	32:33:34
Chr5_34	13040450	14972752	33	35	33:34:35
Chr5_35	13143017	15415369	34	36	34:35:36
Chr5_36	15114195	16344601	35	37	35:36:37
Chr5_37	16182978	17129034	36	38	36:37:38
Chr5_38	16980547	18693604	37	39	37:38:39
Chr5_39	17531918	19078794	38	40	38:39:40
Chr5_40	19050926	20914321	39	41	39:40:41
Chr5_41	20133763	21058398	40	42	40:41:42
Chr5_42	20953905	22270938	41	43	41:42:43
Chr5_43	21815967	22575728	42	44	42:43:44
Chr5_44	22400309	22769226	43	45	43:44:45
Chr5_45	22723782	23728000	44	46	44:45:46
Chr5_46	23014271	24669245	45	47	45:46:47
Chr5_47	24178178	25280627	46	48	46:47:48
Chr5_48	24960329	26036538	47	49	47:48:49
Chr5_49	25600633	26036538	48	49	48:49
