chr_window	start	stop	ADref	ADalt	DP
Chr5_21	8695118	9538841	32	49	81
Chr5_22	9337226	9559932	32	41	73
Chr5_23	9543207	9842090	28	32	60
Chr5_24	9634346	10030253	36	26	62
Chr5_25	9983036	10209214	63	20	83
Chr5_26	10075669	10930647	85	8	93
Chr5_27	10524973	11096549	94	0	94
Chr5_28	10931377	11361449	82	0	82
Chr5_29	11287290	11405713	66	0	66
Chr5_30	11392742	11498866	47	0	47
Chr5_31	11433141	12133415	34	0	34
Chr5_32	11504027	12966636	53	0	53
Chr5_33	12312758	13096525	85	0	85
Chr5_34	13040450	14972752	103	0	103
Chr5_35	13143017	15415369	92	6	98
Chr5_36	15114195	16344601	64	19	83
Chr5_37	16182978	17129034	50	40	90
Chr5_38	16980547	18693604	42	52	94
Chr5_39	17531918	19078794	32	53	85
Chr5_40	19050926	20914321	19	43	62
Chr5_41	20133763	21058398	10	32	42
Chr5_42	20953905	22270938	18	29	47
Chr5_43	21815967	22575728	30	27	57
Chr5_44	22400309	22769226	41	27	68
Chr5_45	22723782	23728000	44	23	67
Chr5_46	23014271	24669245	35	21	56
Chr5_47	24178178	25280627	26	19	45
Chr5_48	24960329	26036538	20	14	34
Chr5_49	25600633	26036538	15	7	22
