chr_window	start	stop	ADref	ADalt	DP
Chr2_13	6590072	8076637	79	29	108
Chr2_14	7308817	8382328	89	15	104
Chr2_15	8294845	8698689	94	5	99
Chr2_16	8392992	8857389	90	0	90
Chr2_17	8805621	9379272	86	0	86
Chr2_18	9111114	9703237	78	0	78
Chr2_19	9506858	10458130	77	0	77
Chr2_20	9760545	10969938	84	0	84
Chr2_21	10545468	11163585	98	0	98
Chr2_22	11034201	11430413	117	0	117
Chr2_23	11211623	11576476	133	0	133
Chr2_24	11435198	12068380	136	0	136
Chr2_25	11831036	12341713	111	0	111
Chr2_26	12324982	12560712	84	0	84
Chr2_27	12486243	12892336	75	0	75
Chr2_28	12733163	13419885	88	0	88
Chr2_29	12914794	14767358	105	0	105
Chr2_30	13513481	15064626	106	0	106
Chr2_31	14949699	16076499	100	0	100
Chr2_32	15823236	17080225	95	0	95
Chr2_33	16430072	17309433	108	0	108
Chr2_34	17108813	18466737	128	0	128
Chr2_35	17434848	18995024	116	0	116
Chr2_36	18778049	18995024	74	0	74
Chr2_37	19654239	19654239	24	0	24
Chr3_1	342917	707088	21	0	21
Chr3_2	712969	757505	53	0	53
Chr3_3	1029809	1594452	88	0	88
Chr3_4	1381923	2097197	124	0	124
Chr3_5	1845970	2317258	129	0	129
Chr3_6	2180118	3514193	120	0	120
Chr3_7	2705185	3628749	94	0	94
Chr3_8	3519002	4179869	87	0	87
Chr3_9	3702735	4948240	86	0	86
Chr3_10	4825657	5376654	89	0	89
Chr3_11	5077691	5482229	90	0	90
Chr3_12	5388573	5853605	85	0	85
Chr3_13	5589673	5986335	95	0	95
Chr3_14	5909262	6452009	97	0	97
Chr3_15	5996514	6755096	92	0	92
Chr3_16	6512422	6862824	86	0	86
Chr3_17	6756578	7011240	92	0	92
Chr3_18	6879359	7236458	107	0	107
Chr3_19	7123271	7633410	113	0	113
Chr3_20	7239000	8033123	111	0	111
Chr3_21	7778781	8354676	105	0	105
Chr3_22	8210112	9072645	102	0	102
Chr3_23	8782547	9191641	104	0	104
Chr3_24	9144619	9287221	108	0	108
Chr3_25	9210057	9796537	114	0	114
Chr3_26	9355847	10596666	102	0	102
Chr3_27	9921946	12736734	76	0	76
Chr3_28	11065171	13692909	54	0	54
Chr3_29	13064226	14237365	50	0	50
Chr3_30	13693246	14694148	65	0	65
Chr3_31	14350450	16319342	68	7	75
Chr3_32	14863295	17283792	64	23	87
Chr3_33	17198514	17450150	56	35	91
Chr3_34	17360725	17774419	52	36	88
Chr3_35	17506131	17946707	55	33	88
Chr3_36	17842974	18401817	63	37	100
Chr3_37	17984416	18566528	75	49	124
Chr3_38	18497869	18797997	78	60	138
Chr3_39	18672194	19106123	77	62	139
Chr3_40	18978128	19606573	72	56	128
Chr3_41	19199991	20627972	61	56	117
Chr3_42	20185121	20870820	50	63	113
Chr3_43	20667999	21289951	45	64	109
Chr3_44	21090564	21417659	51	52	103
Chr3_45	21343950	21693992	58	44	102
Chr3_46	21425206	22052994	58	45	103
Chr3_47	21742064	22198992	55	43	98
Chr3_48	22117707	22446767	47	40	87
Chr3_49	22292793	23007987	33	33	66
Chr3_50	22513483	23007987	19	38	57
Chr3_51	23074983	23451995	6	24	30
Chr4_1	108535	754623	46	0	46
Chr4_2	755432	1505911	79	0	79
Chr4_3	2490935	4357668	83	0	83
Chr4_4	4189160	4794287	97	0	97
Chr4_5	4427836	5112498	102	0	102
Chr4_6	4865860	6139987	114	0	114
Chr4_7	5593193	6480520	116	0	116
Chr4_8	6340217	6677617	110	0	110
Chr4_9	6563102	7760881	110	0	110
Chr4_10	7307915	8103206	105	0	105
Chr4_11	7866707	8368900	98	0	98
Chr4_12	8181864	8697332	83	0	83
Chr4_13	8476826	9121153	76	0	76
Chr4_14	8906051	9555945	78	0	78
Chr4_15	9308071	9923722	84	0	84
Chr4_16	9759883	10151788	90	0	90
Chr4_17	10028464	10611427	98	0	98
Chr4_18	10164235	10929683	97	0	97
Chr4_19	10699709	11390861	92	0	92
Chr4_20	10995810	11660199	87	0	87
Chr4_21	11551870	11865956	80	0	80
Chr4_22	11754197	12163540	81	0	81
Chr4_23	11897227	12568489	84	0	84
Chr4_24	12178606	13158756	90	0	90
Chr4_25	12943928	13636705	81	0	81
Chr4_26	13184593	14243183	70	0	70
Chr4_27	13739959	14833803	70	0	70
Chr4_28	14315609	15049166	79	0	79
Chr4_29	14907081	15312429	83	0	83
Chr4_30	15164081	16358049	84	0	84
Chr4_31	15486128	17106883	91	0	91
Chr4_32	16418955	17612523	105	0	105
Chr4_33	17203845	18032088	108	0	108
Chr4_34	17724206	18475425	83	0	83
Chr4_35	18353380	18475425	57	0	57
Chr4_36	18488278	18488278	24	0	24
Chr5_1	711634	884595	20	15	35
Chr5_2	1053341	2174214	44	28	72
Chr5_3	2265208	3412112	51	31	82
Chr5_4	3235872	3751051	54	37	91
Chr5_5	3507550	4168082	46	51	97
Chr5_6	3911711	4590791	45	66	111
Chr5_7	4547066	4663296	44	67	111
Chr5_8	4590795	5143873	46	52	98
Chr5_9	4732959	6143273	49	41	90
Chr5_10	5518672	7079120	51	49	100
Chr5_11	6831327	7889605	42	57	99
Chr5_12	7242028	8232480	34	61	95
Chr5_13	8063604	9326639	36	62	98
Chr5_14	8512972	9543207	44	60	104
Chr5_15	9337226	9842090	45	55	100
Chr5_16	9559932	10075669	66	39	105
Chr5_17	9983036	10930647	103	21	124
Chr5_18	10209214	11287290	127	8	135
Chr5_19	10931377	11405713	113	0	113
Chr5_20	11361449	11504027	77	0	77
Chr5_21	11433141	12966636	85	0	85
Chr5_22	12133415	13143017	114	0	114
Chr5_23	13040450	15415369	128	12	140
Chr5_24	14972752	16980547	110	39	149
Chr5_25	16182978	18693604	72	63	135
Chr5_26	17129034	20133763	44	66	110
Chr5_27	19050926	21058398	29	55	84
Chr5_28	20914321	22400309	32	46	78
Chr5_29	21815967	22769226	48	43	91
Chr5_30	22575728	24178178	52	37	89
Chr5_31	23014271	25280627	38	25	63
Chr5_32	24669245	25280627	25	15	40
Chr5_33	25600633	26036538	11	5	16
